,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,RAPDB,Product
LOC4337372,0.155397974,0.399684614,0.511482307,1.3121134,0.000197138,0.001020718,Os04g0673300,two-component response regulator ORR6-like
LOC4340505,0.101000688,0.691982029,0.770368362,1.055265288,0.000197868,0.00102402,Os06g0218800,uncharacterized LOC4340505
LOC4328641,0.592346481,0.012626424,0.027620162,2.73238754,0.000201639,0.001040897,Os02g0199800,C2 and GRAM domain-containing protein At1g03370
LOC107276530,0.540926916,0.079999724,0.137219484,1.338503596,0.000202828,0.001046284,Os07g0227300,proline-rich receptor-like protein kinase PERK3
LOC9268622,-0.601249061,4.65E-05,0.000168167,4.88346892,0.000203329,0.001048138,Os01g0781600,putative disease resistance RPP13-like protein 1
LOC107277640,-0.740889097,2.68E-05,0.000101014,1.174105293,0.000204499,0.001053678,Os05g0102400,protein NEN4
LOC4336551,0.302444563,0.019086909,0.039702854,1.093383702,0.000205861,0.001059714,Os04g0543500,leiomodin-2
LOC4330884,0.364989156,0.112952435,0.183319571,1.392196322,0.000208058,0.001070281,Os02g0773600,uncharacterized LOC4330884
LOC4331690,0.798314076,9.15E-06,3.71E-05,1.250420449,0.000208413,0.00107133,Os03g0159400,transcription repressor OFP12
LOC4334258,0.783096639,3.58E-21,5.52E-20,1.095201756,0.000210322,0.001080331,Os03g0770800,probable xyloglucan glycosyltransferase 9%2C transcript variant X2
LOC4337587,-0.104096013,0.617059476,0.709751886,2.329463902,0.000215893,0.001106233,Os05g0110100,uncharacterized LOC4337587
LOC9271579,-0.31645585,0.042541612,0.079959624,1.323909379,0.000219365,0.001121699,Os11g0505300,cytosolic sulfotransferase 10
LOC107278728,0.899952054,2.23E-09,1.40E-08,1.792759482,0.000219778,0.001123291,Os04g0655400,rust resistance kinase Lr10
LOC4350948,-0.640629286,0.381109754,0.493324506,2.751233625,0.000226652,0.001155505,Os11g0621400,stress enhanced protein 1%2C chloroplastic
LOC4347154,-0.588155453,0.023316123,0.047247815,1.02480373,0.000226753,0.001155754,Os09g0437400,auxin-responsive protein SAUR36-like
LOC4340788,-0.430896199,0.530202358,0.635555405,6.01954031,0.000233602,0.001189299,Os06g0289900,UDP-glucose:2-hydroxyflavanone C-glucosyltransferase
LOC4346726,-1.279136559,0.116544985,0.188348672,5.047984421,0.000234072,0.001191419,Os09g0323700,peroxidase 57
LOC9267268,-0.297060888,0.395469188,0.507311291,1.245778608,0.000238008,0.001210068,Os12g0111900,biogenesis of lysosome-related organelles complex 1 subunit 1%2C transcript variant X2
LOC4327164,0.115145079,0.405347236,0.516967047,1.071018337,0.000239941,0.001219061,Os01g0658700,putative glucose-6-phosphate 1-epimerase
LOC4345900,0.358842315,0.003750259,0.009379682,1.984066601,0.000248559,0.001259677,Os08g0490100,dof zinc finger protein MNB1A
LOC4351509,0.941425561,2.15E-05,8.24E-05,1.023741601,0.000255348,0.001290849,Os12g0149700,serine/threonine-protein kinase D6PKL2
LOC4348330,-0.387355387,0.383538692,0.495863785,1.47056612,0.000260692,0.001315472,Os10g0328700,crooked neck-like protein 1
LOC4330728,0.37327849,0.018806481,0.039209753,1.275215912,0.000265238,0.001337181,Os02g0748800,uncharacterized protein At3g28850
LOC112938650,-0.3724539,0.095352213,0.158907333,4.134710347,0.000265295,0.001337181,Os01g0278000,calmodulin-binding protein 25-like
LOC4330699,0.264666208,0.092730772,0.155355391,1.198229144,0.000268286,0.001351339,Os02g0743200,uncharacterized LOC4330699
LOC4326332,0.526590673,0.003101028,0.007914041,1.269110528,0.000271155,0.001363625,Os01g0669100,putative receptor protein kinase ZmPK1
LOC4326764,0.755531664,0.023958582,0.048413037,2.126863837,0.000273438,0.001373554,Os01g0248000,stigma-specific STIG1-like protein 3
LOC4328617,0.876421978,0.212881403,0.309710275,6.924524821,0.000274865,0.001380099,Os02g0196700,exopolygalacturonase
LOC9272091,-0.248501039,0.115502818,0.186862384,1.115274355,0.000276538,0.001387557,Os12g0175400,myb-related protein 308
LOC4346812,0.665433374,4.04E-08,2.22E-07,1.057798516,0.000284276,0.001422209,Os09g0347800,probable histone acetyltransferase type B catalytic subunit
LOC4339208,-0.423033047,0.195529419,0.289136196,2.254176592,0.000288279,0.001439969,Os05g0497200,ethylene-responsive transcription factor 12
LOC112938956,-0.766152119,0.122139564,0.195834098,4.833545032,0.000304162,0.001512509,0,probable LRR receptor-like serine/threonine-protein kinase At1g51880
LOC9268009,0.302701766,0.149526504,0.232077001,1.144542866,0.000305769,0.001520161,Os10g0437900,23.2 kDa heat shock protein-like
LOC4327957,-0.883038528,6.05E-09,3.62E-08,1.513173866,0.000307181,0.001526501,Os01g0800500,nucleotide pyrophosphatase/phosphodiesterase
LOC4339649,0.168559496,0.51918199,0.625601995,1.735518778,0.000307599,0.001528233,Os05g0568600,uncharacterized LOC4339649
LOC4330843,-0.214601772,0.277905889,0.384334916,1.703795113,0.000310949,0.00154281,Os02g0767300,flavonol synthase/flavanone 3-hydroxylase
LOC9268444,0.129448573,0.613104665,0.706513322,2.65266955,0.000314181,0.001557109,Os11g0450400,cytosolic sulfotransferase 5
LOC9267484,0.594444667,0.015214573,0.032540949,1.363129129,0.000315747,0.001564519,Os10g0552200,cortical cell-delineating protein
LOC4350199,0.407209436,0.104566592,0.171791622,1.450177286,0.0003203,0.001585315,Os11g0247500,uncharacterized LOC4350199
LOC4325915,-0.755809594,1.08E-08,6.27E-08,3.060153198,0.00032046,0.00158575,Os01g0644900,uncharacterized LOC4325915
LOC4326763,0.583500857,0.001999942,0.005311129,1.407493956,0.000325087,0.00160686,Os01g0247900,membrane protein PM19L-like
LOC4351297,0.012603627,0.923070013,0.946371875,1.622745735,0.000327049,0.001614765,Os12g0111500,BTB/POZ domain-containing protein At3g56230
LOC4333628,0.513094092,0.001739511,0.004684243,1.154991153,0.000328445,0.001619499,Os03g0659800,uncharacterized protein At4g15545%2C transcript variant X2
LOC4333054,-0.3389837,0.289547405,0.397238663,2.44540172,0.000337225,0.00165666,Os03g0399800,horcolin
LOC4334346,0.826156826,2.58E-05,9.76E-05,1.507873901,0.000337436,0.001657216,Os03g0785800,transcription factor PCF6-like
LOC4335626,-0.031410642,0.776897368,0.838900679,1.016468635,0.000341393,0.001672955,Os04g0379800,uncharacterized LOC4335626
LOC4339112,0.750550704,1.25E-10,8.86E-10,1.04785031,0.000342647,0.001678248,Os05g0479700,disease resistance protein RGA5-like%2C transcript variant X1
LOC4345912,0.036553128,0.856137335,0.897350456,1.469758139,0.000348399,0.001703529,Os08g0492500,probable E3 ubiquitin-protein ligase XERICO
LOC4350954,-0.012287743,0.986744601,0.990693022,1.115273581,0.000357626,0.00174328,Os11g0623800,putative disease resistance protein RGA4%2C transcript variant X1
LOC4324133,-0.838008606,2.37E-05,9.03E-05,2.348244044,0.000366754,0.001783862,Os01g0793900,uncharacterized LOC4324133
LOC4338590,0.295135541,0.121109273,0.194514386,1.212235413,0.000369487,0.00179637,Os05g0371600,probable receptor-like protein kinase At2g39360
LOC4336519,0.525547978,0.003625412,0.009106864,1.494012009,0.000385622,0.001867849,Os04g0536500,NAC domain-containing protein 7
LOC4347055,-0.033899081,0.87150873,0.908942236,3.105017593,0.000391123,0.00189081,Os09g0414900,gibberellin-regulated protein 12
LOC4346916,0.25048838,0.389566728,0.501669764,1.286921239,0.000391392,0.001891289,Os09g0376700,RING-H2 finger protein ATL46
LOC9272069,0.826009167,0.047354522,0.087589358,3.223251369,0.000402166,0.001940391,0,GDSL esterase/lipase At5g22810
LOC4344172,0.32221832,0.057166678,0.102922791,1.291848077,0.000402387,0.001940622,Os07g0659800,E3 ubiquitin-protein ligase DIS1-like
LOC4345065,-0.345509426,0.010939269,0.024317458,1.50904387,0.00040256,0.001941037,Os08g0248100,receptor kinase-like protein Xa21
LOC107277203,0.10230545,0.627566367,0.719239324,1.492611142,0.000412909,0.001985339,Os06g0725800,uncharacterized LOC107277203
LOC4344105,-0.679126778,0.000678087,0.001981887,1.111353837,0.000413277,0.001986247,Os07g0646800,probable galacturonosyltransferase-like 4
LOC4328925,-0.344516816,0.29933736,0.407895617,3.301855719,0.000424509,0.002035829,Os02g0257300,protein THYLAKOID RHODANESE-LIKE%2C chloroplastic-like
LOC4351769,0.727816233,0.143448214,0.223967506,2.501445359,0.000429639,0.002058214,Os12g0209200,B-box zinc finger protein 23
LOC9270488,0.812313694,0.000111486,0.000378833,1.663061686,0.000435728,0.002083343,Os03g0143900,dirigent protein 16
LOC9270994,-0.219686229,0.153357741,0.236788698,1.215974926,0.000440777,0.002104317,Os11g0521000,acetylajmalan esterase
LOC9266367,0.347759475,0.527153537,0.632520471,3.761248828,0.000445724,0.002126562,Os11g0549620,purple acid phosphatase 4
LOC4336470,0.491527283,0.018976886,0.039503211,1.029391145,0.000452333,0.002154859,Os04g0528600,uncharacterized protein At1g65710
LOC9271618,0.284147831,0.05710108,0.102827443,2.499836389,0.000455615,0.002168563,Os03g0723700,uncharacterized LOC9271618
LOC4332099,-0.107086517,0.504028747,0.611310275,1.021033278,0.000462455,0.002197896,Os03g0221700,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130
LOC9270393,0.325600562,0.07876037,0.135369559,1.058240051,0.000464621,0.002206775,Os11g0459300,uncharacterized LOC9270393
LOC112936017,0.130096323,0.367613336,0.479669962,1.277709368,0.000468952,0.002225825,0,uncharacterized LOC112936017%2C transcript variant X2
LOC4345031,0,0,0,6.60989682,0.000469032,0.002225825,#N/A,#N/A
LOC4349823,0.601792213,0.005474428,0.013187904,1.426379491,0.000477043,0.002259503,Os11g0156300,transcription repressor OFP13
LOC4325801,-0.351218518,0.021546847,0.044105622,1.294746292,0.00048316,0.002286525,Os01g0132800,chloroplastic group IIB intron splicing facilitator CRS2%2C chloroplastic-like%2C transcript variant X1
LOC4336800,0.209967348,0.143398332,0.223903946,1.014437867,0.00048364,0.002287784,Os04g0586700,E3 ubiquitin-protein ligase ATL4
LOC4326437,0.024742802,0.944875184,0.960898025,1.609285513,0.000488546,0.002308576,Os01g0779800,formin-like protein 16
LOC4330781,0.033940885,0.82821428,0.877254073,1.050479965,0.000505196,0.002378659,Os02g0757100,protein EXORDIUM
LOC4325738,-0.289782912,0.001060977,0.002987923,1.004390996,0.000506172,0.002382747,Os01g0951100,probable ADP-ribosylation factor GTPase-activating protein AGD11
LOC4334391,-0.265695278,0.056457803,0.101834323,1.085756651,0.000514441,0.002419115,Os03g0792800,glucan endo-1%2C3-beta-glucosidase 8%2C transcript variant X1
LOC4334514,0.681794545,0.08323632,0.141853937,4.358173373,0.000520535,0.002443118,Os03g0808000,polygalacturonase ADPG2
LOC4333144,0,0,0,4.732029267,0.00052199,0.002448396,#N/A,#N/A
LOC4330386,0.916905401,5.04E-07,2.42E-06,1.232947755,0.000530828,0.002487754,Os02g0693000,uncharacterized LOC4330386
LOC4330483,-0.320171427,0.442150281,0.55326587,2.227663519,0.000532338,0.002494305,Os02g0709300,uncharacterized LOC4330483
LOC4337140,-0.225199315,0.105779487,0.173430895,1.255642852,0.00053529,0.002506023,Os04g0636200,putative leucine-rich repeat-containing protein DDB_G0290503
LOC9266816,0.447707383,3.07E-05,0.000114482,1.54462117,0.000539285,0.002522599,Os06g0329200,replication factor A protein 1%2C transcript variant X4
LOC4332657,0.204227452,0.24193735,0.343445785,1.426151864,0.000544459,0.002541988,Os03g0317300,aspartic proteinase nepenthesin-1
LOC4345722,0.406742467,0.326259312,0.437209689,1.951886686,0.000545486,0.002546252,Os08g0450100,pectinesterase
LOC107277584,0.430880862,0.136678264,0.215145303,1.763870985,0.000547761,0.002555795,Os09g0544700,uncharacterized LOC107277584
LOC4325263,0.08554987,0.749834107,0.816613907,1.22552562,0.000557701,0.002595095,Os01g0215700,GDSL esterase/lipase At5g45910
LOC9272276,0.3937713,3.28E-05,0.000121831,6.182308212,0.000560638,0.002607124,Os09g0241550,uncharacterized LOC9272276%2C transcript variant X1
LOC107278739,-0.26765978,0.056028312,0.101186759,1.129239173,0.000576134,0.002672477,Os05g0528500,probable WRKY transcription factor 24
LOC9272238,0.796445979,0.000208992,0.000675997,1.470238486,0.00059261,0.002738051,Os12g0610300,formin-like protein 15
LOC4352796,0.268966689,0.079492057,0.136473385,1.059523344,0.000601796,0.00277588,Os12g0616000,kinesin-like protein KIN-14R
LOC4334401,-0.62923295,0.00055847,0.001662941,1.053023163,0.000605041,0.00278911,Os03g0794000,non-specific lipid transfer protein GPI-anchored 2%2C transcript variant X2
LOC4337640,0.934083762,6.50E-06,2.69E-05,1.959024636,0.000606981,0.002796894,Os05g0119600,sister chromatid cohesion protein DCC1
LOC4343504,0.698302232,6.93E-05,0.000243819,1.114333387,0.00060999,0.002809013,Os07g0541800,cysteine-rich receptor-like protein kinase 10
LOC4351041,0.122848073,0.500021524,0.607583281,1.46907085,0.000624073,0.002866738,Os11g0654800,disease resistance protein PIK6-NP-like
LOC107275276,0,0,0,4.861558904,0.000650956,0.002980989,#N/A,#N/A
LOC4332559,0.513113038,2.10E-05,8.05E-05,1.055686933,0.000652684,0.002988285,Os03g0299200,sex determination protein tasselseed-2
LOC9271377,0.431420711,0.020462767,0.042233657,1.104120265,0.000692082,0.003154378,Os01g0758500,uncharacterized LOC9271377
LOC4328986,0.402271053,0.089855563,0.151369631,1.475532798,0.000693109,0.003158411,Os02g0272300,rop guanine nucleotide exchange factor 10
LOC4352754,-0.701524852,0.143503286,0.224039158,5.905512426,0.000695833,0.003168875,Os12g0608900,L-type lectin-domain containing receptor kinase IX.1
LOC4338225,0.409877888,0.107736877,0.176096009,1.582564079,0.000697808,0.003176569,Os05g0252100,uncharacterized LOC4338225
LOC4332611,0.081382521,0.7294126,0.800913345,2.009046452,0.000703523,0.003197348,Os03g0307700,protein trichome birefringence-like 6
LOC4337668,0.082644065,0.556473444,0.65882828,1.152735758,0.0007095,0.003218593,Os05g0123400,uncharacterized LOC4337668%2C transcript variant X2
LOC4329968,0.935599846,3.21E-13,2.86E-12,1.062068485,0.000719661,0.003260029,Os02g0613000,calcium uptake protein%2C mitochondrial
LOC4335798,0,0,0,6.403044333,0.000722205,0.00327022,#N/A,#N/A
LOC4334815,0.146773582,0.429140492,0.540924454,1.901224863,0.000732468,0.003311297,Os03g0852800,non-specific phospholipase C4
LOC9271182,-0.610899009,0.376178213,0.488235554,1.618894878,0.000745866,0.003359572,Os11g0642400,tryptamine benzoyltransferase 1-like
LOC4339469,-0.317759795,0.064748035,0.114337292,1.133007022,0.000750499,0.003377703,Os05g0540900,uncharacterized LOC4339469
LOC4347956,-1.361559914,0.168252681,0.255946965,4.203442045,0.00077086,0.003459532,Os10g0105850,acyl transferase 1-like
LOC4330089,0.891577328,0.009055977,0.020571269,1.961421202,0.000773186,0.003467872,Os02g0637200,uncharacterized LOC4330089
LOC4349314,0.303981941,0.337985464,0.449640225,2.366814844,0.000774321,0.003471563,Os10g0550300,rop guanine nucleotide exchange factor 3
LOC4339731,-0.899653534,2.55E-07,1.28E-06,1.36037805,0.000782236,0.0035014,Os05g0582000,uncharacterized LOC4339731
LOC4345978,-0.600833428,0.013268606,0.028867112,1.383031836,0.000783189,0.003504959,Os08g0505900,DNA damage-repair/toleration protein DRT100
LOC4332883,0.814947406,0.003478154,0.00876288,1.39324351,0.000783595,0.003505646,Os03g0359600,probable galacturonosyltransferase-like 4
LOC9266822,0.523756494,0.202595051,0.297511582,1.304643423,0.000784108,0.003506954,Os03g0648800,uncharacterized LOC9266822
LOC4324700,0.6033003,0.008720948,0.019893543,2.212595765,0.000795436,0.003554045,Os01g0719700,fe-S cluster assembly factor HCF101%2C chloroplastic%2C transcript variant X2
LOC4335034,-0.797681638,4.34E-05,0.000157958,1.145901171,0.000802557,0.003582264,Os04g0161100,GRIP and coiled-coil domain-containing protein 2
LOC4341867,0.234737045,0.239536488,0.340631939,1.114925107,0.000805934,0.00359589,Os06g0683000,uncharacterized LOC4341867
LOC4346994,-0.576625361,0.126183651,0.201352678,1.444570048,0.000825739,0.003669529,Os09g0400500,probable inactive receptor kinase RLK902
LOC9269873,0.350139443,0.422792416,0.534579221,1.94627969,0.000830127,0.003686082,Os03g0582800,serine/arginine repetitive matrix protein 1
LOC107278198,-0.269678888,0.617489765,0.710127062,2.565435383,0.000834658,0.003702503,Os06g0574000,endochitinase A1
LOC4337458,-0.434007839,0.235885865,0.336558263,1.788940627,0.0008616,0.003807585,Os04g0685000,transcription repressor OFP13
LOC4331251,0.440310612,0.004826064,0.011777121,1.062175563,0.000906951,0.003982666,Os02g0831400,paramyosin
LOC4336328,0.354355921,0.11144509,0.181210562,1.032804552,0.000911319,0.00399711,Os04g0504200,uncharacterized LOC4336328
LOC107275512,1.389377746,0.290140902,0.39787399,5.630556677,0.000911615,0.003997623,Os07g0162000,uncharacterized LOC107275512
LOC4323907,1.234760579,0.153660208,0.237180696,3.42014374,0.000914096,0.00400692,Os01g0304400,uncharacterized LOC4323907
LOC4327199,0.091971036,0.393288923,0.505125027,1.1108655,0.000918571,0.004022572,Os01g0739200,putative dual specificity protein phosphatase DSP8
LOC4339707,-0.205681036,0.262417428,0.366930616,1.072314945,0.00092145,0.004034383,Os05g0578500,cinnamoyl-CoA reductase-like SNL6
LOC4325446,0.006474218,0.968211384,0.97790712,1.886793668,0.000938617,0.004103081,Os01g0375500,bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase%2C chloroplastic
LOC4348005,0.153266932,0.207540378,0.3033684,1.175274489,0.000939766,0.004106491,Os10g0122600,phosphatidylinositol/phosphatidylcholine transfer protein SFH3
LOC9267767,-0.261345165,0.364265038,0.476600432,1.126766813,0.000941452,0.004112241,Os04g0587500,probable purine permease 11%2C transcript variant X4
LOC4330621,-0.820386568,0.00057852,0.001717407,1.091146467,0.000954487,0.004164266,Os02g0731200,MADS-box transcription factor 57-like%2C transcript variant X3
LOC107281203,0.46392014,0.014826555,0.031839394,2.425270587,0.000961362,0.004188508,Os06g0575900,disease resistance protein PIK6-NP-like%2C transcript variant X1
LOC4328277,-0.409794208,0.091368508,0.153452318,1.484938889,0.000966942,0.004210343,Os02g0143400,auxin-induced protein X15
LOC4326579,-0.042125007,0.833010126,0.880521033,1.094331088,0.000970642,0.004225628,Os01g0638600,scopoletin glucosyltransferase
LOC4335076,-0.412708438,0.052761557,0.096241244,1.3846137,0.000981326,0.004266291,Os04g0175500,acyl transferase 15-like%2C transcript variant X2
LOC9270916,0.844841799,2.19E-07,1.10E-06,1.858258769,0.001020797,0.004417484,Os07g0670100,protein SRC2
LOC4343915,0.717770991,0.00420614,0.010391039,1.06788215,0.001033446,0.004468044,Os07g0617700,F-box only protein 13
LOC4335423,-0.492957702,9.57E-06,3.87E-05,1.230018859,0.001033561,0.004468044,0,G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5
LOC4325546,0.048619522,0.63217002,0.722920064,1.018249861,0.001042615,0.00450106,Os01g0748000,dynamin-related protein 5A%2C transcript variant X11
LOC4347309,0.162844142,0.597099595,0.693340005,1.186094972,0.001053314,0.004538437,Os09g0465400,mitochondrial uncoupling protein 5
LOC9270176,-0.635213147,0.567167973,0.667993767,6.402766655,0.001084473,0.004660046,Os04g0686100,uncharacterized LOC9270176
LOC4334874,0.375972039,0.008781376,0.020012681,1.011951354,0.001095094,0.00469938,Os03g0861400,heavy metal-associated isoprenylated plant protein 9%2C transcript variant X1
LOC4325379,-0.15029865,0.438046004,0.549476721,1.468050679,0.001112304,0.004763071,Os01g0653200,D-inositol 3-phosphate glycosyltransferase
LOC4342440,0.699229161,4.74E-06,2.00E-05,1.98105016,0.001144367,0.004879694,Os07g0158500,nuclear transcription factor Y subunit A-2
LOC4347268,0.323770002,0.188912862,0.281363505,1.263223663,0.001157919,0.004931804,Os09g0458100,probable fucosyltransferase 7
LOC4324632,0.155681474,0.736015996,0.806422697,3.448600727,0.001158923,0.004935134,Os01g0751400,uncharacterized LOC4324632
LOC4339171,0.979976951,0.00226731,0.005960848,1.176779081,0.001168901,0.004973815,Os05g0491000,probable calcium-binding protein CML9%2C transcript variant X4
LOC112937408,-0.244367059,0.179215297,0.269485398,6.397143257,0.00117588,0.004999682,0,protein ALP1-like
LOC107276713,0.778569863,3.45E-05,0.000127573,1.153508602,0.001217114,0.005156267,Os01g0155300,dirigent protein 25
LOC4324377,-0.248487503,0.196719935,0.290562189,1.250017794,0.001218266,0.005160164,Os01g0266800,uncharacterized LOC4324377%2C transcript variant X1
LOC4349559,0.387663506,0.128376091,0.204290236,1.606948,0.001221135,0.005170349,Os11g0106800,uncharacterized LOC4349559
LOC4328233,-0.436351743,0.014784748,0.031760793,1.361140073,0.001240537,0.005241515,Os02g0136900,protein STRUBBELIG-RECEPTOR FAMILY 1%2C transcript variant X1
LOC4336929,0.142391668,0.61025808,0.704266826,1.791567003,0.001245998,0.005261588,Os04g0608300,auxin-responsive protein SAUR36-like
LOC4329287,0.324379765,0.329375366,0.4404906,1.441394726,0.001251462,0.005282657,Os02g0458900,GDSL esterase/lipase At2g42990
LOC4351377,0.591209821,0.014480922,0.031176708,1.133463237,0.001252554,0.005286264,Os12g0124700,cell division control protein 45 homolog
LOC4338072,0.170437967,0.530023411,0.635403311,1.088439429,0.001260493,0.005312708,Os05g0205100,probable C-terminal domain small phosphatase
LOC4327872,-0.154762208,0.56155881,0.663015888,1.551960501,0.001260995,0.005313818,Os01g0736600,RING-H2 finger protein ATL67%2C transcript variant X2
LOC4336522,0.784505829,5.01E-06,2.11E-05,1.124795699,0.001268545,0.005341586,Os04g0537800,cysteine-rich repeat secretory protein 15
LOC4330880,0.580274524,0.000256325,0.000815163,1.065173693,0.001272342,0.005355545,Os02g0773200,universal stress protein PHOS32
LOC9268987,0.525518055,0.004865539,0.011860389,1.306619188,0.001326451,0.00555909,Os04g0417600,translation initiation factor IF-2
LOC107281820,0.271306658,0.731577865,0.802677,4.028439748,0.001335497,0.005591732,0,jacalin-related lectin 19-like
LOC4331215,0.664984154,2.50E-06,1.10E-05,1.197585218,0.001342961,0.005620868,Os02g0826200,spore coat polysaccharide biosynthesis protein SpsK%2C transcript variant X1
LOC4344451,1.129046988,0.137308288,0.215901698,4.517416465,0.001346829,0.005635998,Os08g0106300,indole-2-monooxygenase
LOC4345635,0.327164196,0.013598145,0.029492049,1.033792514,0.001352947,0.005659469,Os08g0430600,protein CURVATURE THYLAKOID 1A%2C chloroplastic%2C transcript variant X1
LOC4340206,-0.177737419,0.40100126,0.512710254,1.12096032,0.00138892,0.005788166,Os06g0160600,uncharacterized LOC4340206
LOC4352586,-0.121899857,0.653967773,0.740148632,1.759817148,0.001391771,0.005797872,Os12g0571700,uncharacterized LOC4352586
LOC4324371,-0.977423066,0.001735914,0.004676104,1.270513123,0.001402604,0.005838624,Os01g0266100,E3 ubiquitin-protein ligase EL5-like
LOC4339902,-0.031843174,0.83709102,0.883533735,1.058863641,0.001406463,0.005850307,Os06g0112700,transcription factor MYB53
LOC4350351,0.411793482,0.004236922,0.010462849,1.419008212,0.001427596,0.005932664,Os11g0308800,probable inactive leucine-rich repeat receptor-like protein kinase At3g03770
LOC4352414,0.699723412,0.000119877,0.000405144,1.038546354,0.001430341,0.005940739,Os12g0534400,uncharacterized LOC4352414%2C transcript variant X1
LOC9267903,0.762603049,0.006928087,0.016248751,1.171074188,0.001460388,0.006049712,Os12g0571600,uncharacterized LOC9267903
LOC4330324,-0.690126562,1.32E-10,9.31E-10,2.04169422,0.001464375,0.006065099,Os02g0681200,E3 ubiquitin-protein ligase RHA1B
LOC107278524,1.822822502,0.053704955,0.097699228,6.250175682,0.001483177,0.006128132,Os05g0154432,protein LURP-one-related 5
LOC4334350,-0.267350446,0.213708507,0.31069136,1.394802453,0.001488707,0.006148696,Os03g0786400,zinc finger protein GIS3
LOC107279619,0,0,0,5.500755646,0.00150493,0.006198596,#N/A,#N/A
LOC107276641,0.304467961,0.607324389,0.70179215,6.220051822,0.001504971,0.006198596,Os07g0645701,uncharacterized LOC107276641%2C transcript variant X3
LOC107281807,0.90288514,0.0219626,0.044854481,4.022585881,0.001572805,0.006440998,0,pathogenesis-related protein PRMS
LOC4333844,-0.431731846,0.004445012,0.010922567,1.218045132,0.00158453,0.006483045,Os03g0703300,protein OPAQUE10
LOC4335866,-0.90984244,1.99E-08,1.13E-07,1.673899667,0.001585372,0.006485294,Os04g0430200,PI-PLC X domain-containing protein At5g67130
LOC4342389,0,0,0,6.376344745,0.001592408,0.006512877,#N/A,#N/A
LOC4344718,0.922700966,5.18E-08,2.80E-07,1.076862416,0.001602344,0.006548699,Os08g0160300,probable transcription factor RL9%2C transcript variant X2
LOC4339374,0,0,0,5.46935492,0.001623415,0.006625073,#N/A,#N/A
LOC9269766,-0.566649231,0.339084222,0.45058622,5.232341963,0.001632969,0.006657951,Os12g0510750,uncharacterized LOC9269766%2C transcript variant X1
LOC9271729,0.239453474,0.315323622,0.425545668,2.862720704,0.001635633,0.006667588,Os09g0334900,ankyrin repeat-containing protein At5g02620
LOC4338011,0.100426267,0.834765334,0.881762191,2.12120706,0.001660335,0.006759608,Os05g0187500,protein IQ-DOMAIN 14
LOC4336660,0.796859866,5.56E-07,2.66E-06,1.189502087,0.001684544,0.006843133,Os04g0561900,L-ascorbate oxidase homolog
LOC4351109,0.020616635,0.874072994,0.910778831,1.680560978,0.001695202,0.006873879,0,putative disease resistance protein RGA3%2C transcript variant X1
LOC4347720,0.353601931,0.093218645,0.156033514,1.622182245,0.001695759,0.006874874,Os09g0539400,protein MCM10 homolog
LOC4343649,-0.227496747,0.048772891,0.089879103,1.570854472,0.001708155,0.006915041,Os07g0569100,remorin 4.1-like
LOC4341941,0.6849611,0.38119636,0.493372703,3.083449008,0.001728038,0.006981549,Os06g0696500,probable xyloglucan endotransglucosylase/hydrolase protein 23
LOC107278219,0.62994042,0.008899271,0.020251111,1.043007147,0.001732178,0.006997004,Os08g0496600,uncharacterized LOC107278219%2C transcript variant X2
LOC4343284,-0.433373837,0.033423387,0.064848809,2.295599912,0.001761679,0.007103268,Os07g0494800,wall-associated receptor kinase 2
LOC4324970,0.316109104,0.068801903,0.120462232,1.096091929,0.001763032,0.00710716,Os01g0895500,RHOMBOID-like protein 13
LOC4343620,-0.064752762,0.414818676,0.526323971,2.148029303,0.001842471,0.007384832,Os07g0565000,40S ribosomal protein S11
LOC107276538,-0.500971201,0.190064003,0.282681261,1.709999597,0.001907287,0.007625374,Os10g0376400,protein EXORDIUM
LOC4325758,-0.804123207,0.001638843,0.004441582,1.045617428,0.001911041,0.007637637,Os01g0948900,BTB/POZ domain and ankyrin repeat-containing protein NPR5-like
LOC4340016,0.090507325,0.555577462,0.658150587,1.487681339,0.001912455,0.007640542,Os06g0132500,probable lysophospholipase BODYGUARD 3
LOC4348760,0.488719333,0.103727907,0.170617342,3.320647043,0.00193031,0.007704954,Os10g0447900,silicon efflux transporter LSI2-like%2C transcript variant X1
LOC4337656,-0.070308263,0.528744244,0.634118981,1.026427781,0.001938734,0.007730251,Os05g0121750,putative GPI-anchored protein pfl2%2C transcript variant X4
LOC4326649,0.056348392,0.822740315,0.87337214,1.206273843,0.00196616,0.007829774,Os01g0615500,ABC transporter G family member 10
LOC9270026,0.376257114,0.035535404,0.068465509,1.687551026,0.001983296,0.007890949,Os05g0112101,probable clathrin assembly protein At4g32285
LOC4342070,-0.168187202,0.728174302,0.799733547,2.557628156,0.001990435,0.007915103,Os06g0715300,endoglucanase 18-like
LOC4338865,0.18406212,0.516678464,0.623108254,1.450540908,0.002008002,0.007977826,Os05g0428400,uncharacterized LOC4338865
